opcode_hex,mnemonic,cpu_level
0x0AF6,CAS,2
0x0AF7,CAS,2
0x0AF8,CAS,2
0x0AF9,CAS,2
0x0B08,MVPMR,0
0x0B09,MVPMR,0
0x0B0A,MVPMR,0
0x0B0B,MVPMR,0
0x0B0C,MVPMR,0
0x0B0D,MVPMR,0
0x0B0E,MVPMR,0
0x0B0F,MVPMR,0
0x0B48,MVPMR,0
0x0B49,MVPMR,0
0x0B4A,MVPMR,0
0x0B4B,MVPMR,0
0x0B4C,MVPMR,0
0x0B4D,MVPMR,0
0x0B4E,MVPMR,0
0x0B4F,MVPMR,0
0x0B88,MVPRM,0
0x0B89,MVPRM,0
0x0B8A,MVPRM,0
0x0B8B,MVPRM,0
0x0B8C,MVPRM,0
0x0B8D,MVPRM,0
0x0B8E,MVPRM,0
0x0B8F,MVPRM,0
0x0BC8,MVPRM,0
0x0BC9,MVPRM,0
0x0BCA,MVPRM,0
0x0BCB,MVPRM,0
0x0BCC,MVPRM,0
0x0BCD,MVPRM,0
0x0BCE,MVPRM,0
0x0BCF,MVPRM,0
0x0CD0,CAS,2
0x0CD1,CAS,2
0x0CD2,CAS,2
0x0CD3,CAS,2
0x0CD4,CAS,2
0x0CD5,CAS,2
0x0CD6,CAS,2
0x0CD7,CAS,2
0x0CD8,CAS,2
0x0CD9,CAS,2
0x0CDA,CAS,2
0x0CDB,CAS,2
0x0CDC,CAS,2
0x0CDD,CAS,2
0x0CDE,CAS,2
0x0CDF,CAS,2
0x0CE0,CAS,2
0x0CE1,CAS,2
0x0CE2,CAS,2
0x0CE3,CAS,2
0x0CE4,CAS,2
0x0CE5,CAS,2
0x0CE6,CAS,2
0x0CE7,CAS,2
0x0CE8,CAS,2
0x0CE9,CAS,2
0x0CEA,CAS,2
0x0CEB,CAS,2
0x0CEC,CAS,2
0x0CED,CAS,2
0x0CEE,CAS,2
0x0CEF,CAS,2
0x0CF0,CAS,2
0x0CF1,CAS,2
0x0CF2,CAS,2
0x0CF3,CAS,2
0x0CF4,CAS,2
0x0CF5,CAS,2
0x0CF6,CAS,2
0x0CF7,CAS,2
0x0CF8,CAS,2
0x0CF9,CAS,2
